,genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
1951,[18],522369,en,"Ricky and his family have been fighting an uphill struggle against debt since the 2008 financial crash. An opportunity to wrestle back some independence appears with a shiny new van and the chance to run a franchise as a self-employed delivery driver. It's hard work, and his wife's job as a carer is no easier. The family unit is strong but when both are pulled in different directions everything comes to breaking point.",1.5505,2019-10-04,Sorry We Missed You,7.336,808
1952,"[35, 18, 10749]",416477,en,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",4.6157,2017-03-30,The Big Sick,7.336,2587
1953,"[18, 36]",339380,en,Young lawyer Ruth Bader Ginsburg teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of sex discrimination.,2.6485,2018-12-25,On the Basis of Sex,7.336,1109
1954,"[878, 28, 18, 53]",119450,en,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",11.5862,2014-07-08,Dawn of the Planet of the Apes,7.336,12033
1955,[18],44018,fr,"Mona Bergeron is dead, her frozen body found in a ditch in the French countryside. From this, the film flashes back to the weeks leading up to her death. Through these flashbacks, Mona gradually declines as she travels from place to place, taking odd jobs and staying with whomever will offer her a place to sleep. Mona is fiercely independent, craving freedom over comfort, but it is this desire to be free that will eventually lead to her demise.",1.6835,1985-12-04,Vagabond,7.336,354
1956,[35],12776,it,"Good hearted but not very wordly-wise, Dante is happy driving the school bus for a group of mentally handicapped children, while feeling he is somehow missing out on life and love. So he is very excited when after nearly being knocked down by her car he meets Maria, who seems immediately enamoured of him. He is soon invited to her sumptuous Palermo villa, little suspecting that this is part of a plot. He bears an amazing likeness to Maria's stool-pigeon gangster husband and it would be convenient for them if the mobster, in the shape of Dante, was seen to be dead and buried.",0.5353,1991-10-24,Johnny Stecchino,7.336,1058
1957,"[35, 80, 18]",489930,en,"Collin must make it through his final three days of probation for a chance at a new beginning. He and his troublemaking childhood best friend, Miles, work as movers, and when Collin witnesses a police shooting, the two men’s friendship is tested as they grapple with identity and their changed realities in the rapidly-gentrifying neighborhood they grew up in.",2.1768,2018-07-20,Blindspotting,7.334,715
1958,[18],26638,it,"In an industrializing Italian town, a married woman, rendered mentally unstable after a traffic accident, drifts into an affair with a friend of her husband.",1.1623,1964-09-04,Red Desert,7.335,496
1959,"[9648, 878]",2666,en,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.",6.7759,1998-02-27,Dark City,7.334,3099
1960,"[80, 18, 35]",1554,en,"A disc jockey, a pimp and an Italian tourist escape from jail in New Orleans.",1.5789,1986-09-20,Down by Law,7.335,818
1961,"[9648, 53, 18]",663260,fr,"Mathieu is a young and talented black box analyst on a mission to solve the reason behind the deadly crash of a brand new aircraft. Yet, when the case is closed by authorities, Mathieu cannot help but sense there is something wrong with the evidence. As he listens to the tracks again, he starts detecting some seriously disturbing details. Could the tape have been modified? Going against his boss' orders, Mathieu begins his own rogue investigation - an obsessional and dangerous quest for truth that will quickly threaten far more than his career...",4.8216,2021-09-08,Black Box,7.33,1391
1962,[18],615643,en,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of this new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",3.3307,2021-02-12,Minari,7.333,1798
1963,[27],16307,en,Police sergeant Neil Howie is called to an island village in search of a missing girl whom the locals claim never existed. The investigation is further complicated as Howie’s religious views clash with those of the island’s residents.,3.7136,1973-12-06,The Wicker Man,7.335,1586
1964,"[12, 53, 878]",2756,en,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",6.4879,1989-08-09,The Abyss,7.336,3325
1965,"[18, 10752]",1116,en,"In 1920s Ireland young doctor Damien O'Donovan prepares to depart for a new job in a London hospital. As he says his goodbyes at a friend's farm, British Black and Tans arrive, and a young man is killed. Damien joins his brother Teddy in the Irish Republican Army, but political events are soon set in motion that tear the brothers apart.",1.8837,2006-06-23,The Wind That Shakes the Barley,7.334,872
1966,"[10749, 878, 18]",818750,en,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",2.3391,2022-02-11,The In Between,7.333,822
1967,"[35, 18]",121986,en,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.",2.4133,2013-05-17,Frances Ha,7.3,1787
1968,[27],21484,en,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.",6.9519,1981-05-27,Possession,7.3,1265
1969,[37],17529,en,"The murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. She recruits a tough old marshal, 'Rooster' Cogburn because he has 'true grit', and a reputation of getting the job done.",3.6545,1969-06-11,True Grit,7.333,836
1970,"[12, 35, 10752]",11589,en,A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.,2.5631,1970-06-22,Kelly's Heroes,7.333,786
1971,"[53, 27]",11206,en,"After a flight back home, Sam Hendrix returns with a doll he innocently acquired along the way. As it turns out, the doll is actually stuffed with heroin, and a group of criminals led by the ruthless Roat has followed Hendrix back to his place to retrieve it. When Hendrix leaves for business, the crooks make their move -- and find his blind wife, Susy, alone in the apartment. Soon, a life-threatening game begins between Susy and the thugs.",1.5673,1967-10-26,Wait Until Dark,7.334,581
1972,"[18, 10749]",965,en,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,1.5809,1942-07-10,The Magnificent Ambersons,7.3,466
1973,"[18, 10749]",638449,en,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,2.1569,2021-07-23,The Last Letter from Your Lover,7.332,653
1974,"[35, 10749, 878]",587792,en,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated when they find themselves unable to escape the venue, themselves, or each other.",8.7428,2020-07-10,Palm Springs,7.332,3549
1975,"[53, 80]",75656,en,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,13.711,2013-05-29,Now You See Me,7.332,16480
1976,"[14, 16, 28]",17581,ja,"A mysterious group of ninjas makes a surprise attack on the Konohagakure, which takes great damage. The nightmare of another Shinobi World War could become a reality. Sasuke, who was still a missing nin from Konoha trying to kill his brother, Itachi, appears for the second time in front of Naruto at an unknown location to prevent it from happening.",6.0702,2008-08-02,Naruto Shippuden the Movie: Bonds,7.332,508
1977,"[9648, 53]",260,en,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed - with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as The 39 Steps.",1.8706,1935-06-06,The 39 Steps,7.332,1027
1978,[18],205587,en,"A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",6.0202,2014-10-08,The Judge,7.331,4343
1979,"[16, 10751, 10770]",28118,en,"The magical tale of a mouse who sets foot on a woodland adventure in search of a nut. Encountering predators who all wish to eat him - Fox, Owl and Snake - the brave mouse creates a terrifying, imaginary monster to frighten them away. But what will the mouse do when he meets this frightful monster for real?",3.6195,2009-12-25,The Gruffalo,7.3,332
1980,"[16, 18, 878]",12140,ja,"Cyborg detective Batou is assigned to investigate a series of murders committed by gynoids—doll-like cyborgs, which all malfunctioned, killed, then self-destructed afterwards. The brains of the gynoids initialize in order to protect their manufacturer's software, but in one gynoid, which Batou himself neutralized, one file remains: a voice speaking the phrase ""Help me.""",2.6064,2004-03-06,Ghost in the Shell 2: Innocence,7.33,949
1981,"[28, 12, 80, 53]",10975,cn,"Hired by a Spanish baron, Hong Kong treasure hunter Jackie, a.k.a. ""Asian Hawk"" and his entourage seek WWII Nazi gold buried in the Sahara Desert.",3.0874,1991-02-07,Operation Condor,7.33,621
1982,"[10751, 16, 35, 12]",9385,fr,"Asterix and Obelix depart on an adventure to complete twelve impossible tasks to prove to Caesar that they are as strong as the Gods. You'll roar with laughter as they outwit, outrun, and generally outrage the very people who are trying to prove them ""only human"".",2.7291,1976-06-26,The Twelve Tasks of Asterix,7.331,1320
1983,"[28, 80, 53, 12]",619803,ko,"The 'Beast Cop' Ma Seok-do heads to a foreign country to extradite a suspect, but soon after his arrival, he discovers additional murder cases and hears about a vicious killer who has been committing crimes against tourists for several years.",6.2654,2022-05-18,The Roundup,7.33,405
1984,"[12, 14, 35]",493529,en,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",8.9716,2023-03-23,Dungeons & Dragons: Honor Among Thieves,7.33,4378
1985,"[28, 12, 14]",122917,en,"Following Smaug's attack on Laketown, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",20.3557,2014-12-10,The Hobbit: The Battle of the Five Armies,7.331,15092
1986,"[35, 18]",25403,it,"Nanni Moretti recalls in his diary three slice of life stories characterized by a sharply ironic look: in the first one he wanders through a deserted Rome, in the second he visits a reclusive friend on an island, and in the last he has to grapple with an unknown illness.",1.059,1993-11-12,Dear Diary,7.33,503
1987,"[35, 10749]",759,en,"Lorelei Lee is a beautiful showgirl engaged to be married to the wealthy Gus Esmond, much to the disapproval of Gus' rich father, Esmond Sr., who thinks that Lorelei is just after his money. When Lorelei goes on a cruise accompanied only by her best friend, Dorothy Shaw, Esmond Sr. hires Ernie Malone, a private detective, to follow her and report any questionable behavior that would disqualify her from the marriage.",2.4755,1953-07-14,Gentlemen Prefer Blondes,7.33,1036
1988,"[28, 12, 878]",315635,en,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",25.7126,2017-07-05,Spider-Man: Homecoming,7.329,22845
1989,[18],132363,en,"Cecil Gaines was a sharecropper's son who grew up in the 1920s as a domestic servant for the white family who casually destroyed his. Eventually striking out on his own, Cecil becomes a hotel valet of such efficiency and discreteness in the 1950s that he becomes a butler in the White House itself. There, Cecil would serve numerous US Presidents over the decades as a passive witness of history with the American Civil Rights Movement gaining momentum even as his family has troubles of its own. As his wife, Gloria, struggles with alcoholism and his defiant eldest son, Louis, strives for a just world, Cecil must decide whether he should take action in his own way.",3.475,2013-08-16,The Butler,7.329,2984
1990,[35],36208,en,The Tramp and his dog companion struggle to survive in the inner city.,1.2592,1918-04-14,A Dog's Life,7.329,353
1991,[35],18785,en,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",12.8828,2009-06-02,The Hangover,7.329,17811
1992,"[28, 80]",15003,th,"Zen, an autistic teenage girl with powerful martial arts skills, gets money to pay for her sick mother Zin's treatment by seeking out all the people who owe Zin money and making them pay.",2.088,2008-02-07,Chocolate,7.329,545
1993,"[35, 14, 16, 18, 10751]",100271,ja,A shy 11-year-old's life takes a strange turn when she discovers three hungry goblins living in the attic of her new house. She misses her old life. She misses her father so very much. Until she makes some new ghoulish friends.,2.6929,2012-04-21,A Letter to Momo,7.328,393
1994,"[35, 12, 878]",27275,tr,"Carpet dealer and UFO photo forger Arif is abducted by aliens and must outwit the evil commander-in-chief of G.O.R.A., the planet where he is being held.",0.768,2004-11-12,G.O.R.A.,7.3,359
1995,"[80, 18, 9648]",9504,en,"Times are tough at Premiere Properties. Shelley ""the machine"" Levene and Dave Moss are veteran salesmen, but only Ricky Roma is on a hot streak. The new Glengarry sales leads could turn everything around, but the front office is holding them back until these ""losers"" prove themselves. Then someone decides to take matters into his own hands, stealing the Glengarry leads and leaving everyone wondering who did it.",3.9658,1992-09-10,Glengarry Glen Ross,7.3,1552
1996,"[53, 18]",1151534,es,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",4.3111,2023-09-29,Nowhere,7.326,1515
1997,[53],740441,ko,A woman's life is turned upside-down when a dangerous man gets a hold of her lost cell phone and uses it to track her every move.,1.9818,2023-02-17,Unlocked,7.327,385
1998,"[14, 35, 12, 878]",425909,en,"When single mom Callie and her two kids Trevor and Phoebe arrive in a small Oklahoma town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",10.5952,2021-11-18,Ghostbusters: Afterlife,7.327,5026
1999,"[10749, 35, 80, 18]",239877,it,"While Arturo tries to gain the love of Flora, he witnesses the history of Sicily from 1969 to 1992, miraculously dodging the crimes of the Mafia and supporting as a journalist the heroic struggle of the judges and policemen who fought this infamous organization.",0.5625,2013-11-28,The Mafia Kills Only in Summer,7.3,1124
2000,[18],11197,sv,"Stockholm, in the 1950s.  Erik is expelled from the local school for getting into one brawl too many. To protect Erik from his violent stepfather’s reaction to his expulsion, Erik's mother arranges for Erik to spend a year at Stjärnsberg Boarding School, the only school willing to accept him. This is Erik's last chance to graduate to Upper School and he promises his mother, for his and her sake, to do all he can to stay out of trouble.",2.1302,2003-09-16,Evil,7.333,386
2001,"[27, 53]",7340,en,"Withdrawn and sensitive teenager Carrie White faces bullying from classmates and abuse from her fanatically pious mother. When she begins to suspect that she has supernatural powers, things take a dark and violent turn.",7.4463,1976-11-03,Carrie,7.3,4213
2002,"[18, 9648, 53]",1052,en,"A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. But in the course of a single day he unknowingly captures a death on film.",2.2018,1966-12-18,Blow-Up,7.328,1339
2003,"[18, 10402, 10749]",88,en,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",7.7845,1987-08-21,Dirty Dancing,7.327,6413
2004,"[16, 12, 28, 10751, 14]",560057,en,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters — and make history to boot.",5.7635,2022-06-24,The Sea Beast,7.326,1647
2005,"[35, 18, 10749]",31522,fr,"Longing for a baby, a stripper pursues another man in order to make her boyfriend jealous.",1.1255,1961-09-06,A Woman Is a Woman,7.3,394
2006,"[80, 18]",7452,en,"When churlish mobster Albert Spica acquires an upscale French restaurant in London, he dines there nightly, effectively scaring off the clientele with his bad manners. His wife, Georgina, is especially disgusted by him, and soon begins an affair with regular guest Michael. Despite their best efforts to keep it secret, Spica learns about their trysts, and he plots a terrible revenge.",2.0781,1989-10-13,"The Cook, the Thief, His Wife & Her Lover",7.326,690
2007,"[27, 35, 14, 18]",1284120,no,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",16.4013,2025-03-07,The Ugly Stepsister,7.327,912
2008,[18],1241983,en,A logger leads a life of quiet grace as he experiences love and loss during an era of monumental change in early 20th-century America.,14.3692,2025-11-05,Train Dreams,7.328,691
2009,"[53, 9648, 10749]",705996,ko,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",6.0574,2022-06-29,Decision to Leave,7.326,1435
2010,"[12, 18, 28]",58857,ja,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,3.765,2010-09-25,13 Assassins,7.327,1228
2011,[35],37775,it,"Three Italians travel to their hometown to vote for elections: Pasquale is a Southern immigrant living in Munich who's genuinely happy to come back to Italy, even if just for a few days, but the country he dreams of is far from reality; Furio travels to Rome with his family, but his niggling attitude threatens to push his wife Magda over the edge; young Mimmo is also going to Rome, but the trip is repeatedly interrupted by worries about his grandma's health.",0.6335,1981-02-20,"Bianco, rosso e Verdone",7.325,738
2012,"[35, 18, 10749]",14736,en,"Monica Wright and Quincy McCall grew up in the same neighborhood and have known each other since childhood. As they grow into adulthood, they fall in love, but they also share another all-consuming passion: basketball.  As Quincy and Monica struggle to make their relationship work, they follow separate career paths though high school and college basketball and, they hope, into stardom in big-league professional ball.",2.4131,2000-04-21,Love & Basketball,7.325,461
2013,"[53, 16, 28, 80]",242643,en,Batman works desperately to find a bomb planted by the Joker while Amanda Waller sends her newly-formed Suicide Squad to break into Arkham Asylum and recover vital information stolen by the Riddler.,2.7271,2014-08-12,Batman: Assault on Arkham,7.324,1174
2014,"[28, 18, 53]",2502,en,"A CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",8.1973,2004-07-23,The Bourne Supremacy,7.324,7984
2015,"[16, 10751, 35, 14]",508947,en,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",13.0974,2022-03-10,Turning Red,7.323,5673
2016,[18],484751,fr,"Franck is a firefighter in Paris. He saves people. He lives at the station with his wife, who is about to have twins. He’s happy. During a call out to a fire, he puts himself in danger, to save his men. He’s going to have to learn to live again and accept to be the one being saved, this time.",0.7769,2018-11-28,Through the Fire,7.323,713
2017,"[18, 10749]",47735,sv,"One summer day, two teens begin a reckless affair and abandon their families to be with one another.",0.8331,1953-02-09,Summer with Monika,7.3,386
2018,"[18, 10749, 10752]",15764,en,"Stingo, a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie and her lover Nathan, he learns that she is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent.",2.4179,1982-12-08,Sophie's Choice,7.323,913
2019,"[18, 80, 53]",470,en,"Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.",2.8872,2003-09-06,21 Grams,7.3,3321
2020,"[18, 80]",544401,en,"Cherry drifts from college dropout to army medic in Iraq—anchored only by his one true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",4.9048,2021-02-26,Cherry,7.32,1350
2021,"[18, 14]",866,en,"During a writing slump, playwright J.M. Barrie meets a widow and her four children, all young boys—who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece. Peter Pan.",2.4124,2004-10-29,Finding Neverland,7.321,3692
2022,[18],687,en,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,2.0559,1995-12-29,Dead Man Walking,7.322,1463
2023,"[10749, 18, 35]",843527,en,"40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet. As they begin a whirlwind romance, it isn't long before Hayes' superstar status poses unavoidable challenges to their relationship, and Solène soon discovers that life in the glare of his spotlight might be more than she bargained for.",8.2659,2024-05-02,The Idea of You,7.321,1860
2024,"[16, 35, 10751, 9648]",258893,en,"The mystery begins when Shaggy and Scooby win tickets to ""WrestleMania"" and convince the crew to go with them to WWE City. But this city harbors a spooky secret - a ghastly Ghost Bear holds the town in his terrifying grip! To protect the coveted WWE Championship Title, the gang gets help from WWE Superstars like John Cena, Triple H, Sin Cara, Brodus Clay, AJ Lee, The Miz and Kane. Watch Scooby and the gang grapple with solving this case before it's too late.",1.4664,2014-03-11,Scooby-Doo! WrestleMania Mystery,7.321,330
2025,[35],112198,fr,"Vincent, a wealthy real estate agent, is invited to dinner by his sister Elizabeth and her husband Peter, both professors in Paris. Claude, a childhood friend and trombonist in a symphony orchestra, is also present. Vincent brings news from the prenatal examination of his and his wife Anna's unborn son.  The name chosen by the soon-to-be parents strongly offends the others for many reasons. The dispute between the guests quickly escalates and before long the resurgence of old grudges and hidden secrets is unavoidable...",1.006,2012-04-25,What's in a Name,7.321,1776
2026,[18],7979,en,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",2.0014,2007-12-14,The Kite Runner,7.321,1224
2027,"[80, 18]",1429,en,"On the eve of a seven-year prison sentence, a New York drug dealer spends his final day of freedom confronting his past, his relationships, and the choices that led to his downfall in a city still reeling from 9/11.",4.6154,2002-12-19,25th Hour,7.322,2516
2028,"[14, 35, 10751, 10770]",809107,en,"Zed and Addison are beginning their final year at Seabrook High in the town that’s become a safe haven for monsters and humans alike. Zed is anticipating an athletic scholarship that will make him the first Zombie to attend college, while Addison is gearing up for Seabrook’s first international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, provoking something other than friendly competition.",1.7835,2022-07-09,Z-O-M-B-I-E-S 3,7.32,437
2029,"[12, 80, 18]",433498,en,"Henri “Papillon” Charrière, a safecracker from the Parisian underworld, is wrongfully convicted and sentenced to life imprisonment in the penal colony of French Guiana, where he forges a strong friendship with Louis Dega, a counterfeiter who needs his protection.",4.2299,2017-09-07,Papillon,7.32,2081
2030,"[28, 12, 878]",54138,en,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",7.9191,2013-05-05,Star Trek Into Darkness,7.32,9496
2031,"[18, 53, 10752]",7445,en,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",8.671,2009-12-02,Brothers,7.32,3848
2032,"[35, 10402]",704,en,"Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest.",2.1666,1964-07-07,A Hard Day's Night,7.3,726
2033,"[28, 878]",557,en,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",19.9408,2002-05-01,Spider-Man,7.32,20283
2034,"[12, 35, 80]",134,en,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",4.7093,2000-08-30,"O Brother, Where Art Thou?",7.321,4478
2035,"[18, 36, 10752]",289222,en,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.",2.7903,2017-03-24,The Zookeeper's Wife,7.319,1552
2036,"[18, 35, 10751]",66125,en,The legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.,1.7664,2011-08-04,Red Dog,7.319,421
2037,"[35, 18, 14, 10751]",755339,pt,"After taking a very nasty fall on Christmas Eve, grinchy Jorge blacks out and wakes up one year later, with no memory of the year that has passed. He soon realizes that he’s doomed to keep waking up on Christmas Eve after Christmas Eve, having to deal with the aftermath of what his other self has done the other 364 days of the year.",0.8778,2020-12-03,Just Another Christmas,7.318,434
2038,"[37, 18, 9648]",11901,en,"A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him, the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way.",3.2686,1973-04-19,High Plains Drifter,7.318,1299
2039,"[12, 10751, 16]",762509,en,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",16.0295,2024-12-18,Mufasa: The Lion King,7.317,2522
2040,"[28, 12, 16, 878, 14]",30061,en,"A heroic version of Lex Luthor from an alternate universe appears to recruit the Justice League to help save his Earth from the Crime Syndicate, an evil version of the League. What ensues is the ultimate battle of good versus evil in a war that threatens both planets and, through a devious plan launched by Batman's counterpart Owlman, puts the balance of all existence in peril.",2.6937,2010-02-23,Justice League: Crisis on Two Earths,7.3,762
2041,"[10749, 35, 18]",3109,en,"An American man returns to the village of his birth in Ireland, where he finds love and conflict.",1.5405,1952-07-21,The Quiet Man,7.3,594
2042,[18],228,de,"Prim professor Immanuel Rath finds some of his students ogling racy photos of cabaret performer Lola Lola and visits a local club, The Blue Angel, in an attempt to catch them there. Seeing Lola perform, the teacher is filled with lust, eventually resigning his position at the school to marry the young woman. However, his marriage to a coquette -- whose job is to entice men -- proves to be more difficult than Rath imagined.",1.1813,1930-04-01,The Blue Angel,7.317,357
2043,"[35, 18, 10402]",360365,es,A teen star ventures out to the Italian countryside for a summer and emerges a new artist.,1.1784,2016-05-04,Tini: The New Life of Violetta,7.3,397
2044,[18],25793,en,"In Harlem in 1987, Claireece ""Precious"" Jones is a 16-year-old African American girl born into a life no one would want. She's pregnant for the second time by her absent father, and at home she must wait hand and foot on her mother, an angry woman who abuses her emotionally and physically. School is chaotic and Precious has reached the ninth grade with good marks and a secret – she can't read.",6.9229,2009-11-06,Precious,7.316,1735
2045,"[35, 14, 27]",25623,ja,"Hoping to find a sense of connection to her late mother, Gorgeous takes a trip with her friends to visit her aunt's ancestral house in the countryside. The girls soon discover that there is more to the old house than meets the eye.",2.1701,1977-08-26,House,7.316,761
2046,"[18, 35, 36, 10749]",11673,fr,"Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",1.2552,1990-03-28,Cyrano de Bergerac,7.316,811
2047,"[18, 10749, 10752]",2841,fr,"Young Frenchwoman Mathilde searches for the truth about her missing fiancé, lost during World War I, and learns many unexpected things along the way. The love of her life is gone. But she refuses to believe he's gone forever — and she needs to know for sure.",2.1233,2004-10-27,A Very Long Engagement,7.316,1293
2048,"[18, 36]",801112,it,"The story of Edgardo Mortara, a young Jewish boy living in Bologna, Italy, who in 1858, after being secretly baptized, was forcibly taken from his family to be raised as a Christian. His parents’ struggle to free their son became part of a larger political battle that pitted the papacy against forces of democracy and Italian unification.",1.5212,2023-05-25,Kidnapped,7.3,354
2049,"[18, 35, 10749]",11807,hi,A depressed wealthy businessman and a spunky carefree young woman embark on an unexpected journey that changes their lives.,1.1225,2007-10-26,Jab We Met,7.317,309
2050,"[35, 18]",9571,en,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",3.7048,1993-09-24,Dazed and Confused,7.3,2209
2051,"[12, 9648, 80]",829280,en,"Now a detective-for-hire like her infamous brother, Enola Holmes takes on her first official case to find a missing girl, as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends — and Sherlock himself — to unravel.",6.3221,2022-11-30,Enola Holmes 2,7.314,1727
